[25-May-2014 23:35:33 UTC] PHP Notice:  Constant ABSPATH already defined in /homez.343/immoneda/www/wp-load.php on line 22
[28-May-2014 19:55:42 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:55:53 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:55:54 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:03 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:14 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:15 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:26 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:27 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:37 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:38 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:38 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:45 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:45 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:54 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:55 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:56 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
[28-May-2014 19:56:57 UTC] PHP Notice:  Use of undefined constant houseNumber - assumed 'houseNumber' in /homez.343/immoneda/www/wp-content/plugins/estateprogram/public/class-sourceimport.php on line 294
